"","ay","age","amount","metric","eval_date"
"1998.171",1998,171,1.007,"ind_itdpaid",2013-03-31
"1999.171",1999,171,1.006,"ind_itdpaid",2014-03-31
"2000.171",2000,171,1.007,"ind_itdpaid",2015-03-31
"2001.171",2001,171,1.007,"ind_itdpaid",2016-03-31
"2002.171",2002,171,1.006,"ind_itdpaid",2017-03-31
"2003.171",2003,171,1.008,"ind_itdpaid",2018-03-31
"2004.171",2004,171,1.008,"ind_itdpaid",2019-03-31
"1994.183",1994,183,1.003,"ind_itdpaid",2010-03-31
"1995.183",1995,183,1.004,"ind_itdpaid",2011-03-31
"1996.183",1996,183,1.005,"ind_itdpaid",2012-03-31
"1997.183",1997,183,1.005,"ind_itdpaid",2013-03-31
"1998.183",1998,183,1.006,"ind_itdpaid",2014-03-31
"1999.183",1999,183,1.006,"ind_itdpaid",2015-03-31
"2000.183",2000,183,1.004,"ind_itdpaid",2016-03-31
"2001.183",2001,183,1.006,"ind_itdpaid",2017-03-31
"2002.183",2002,183,1.005,"ind_itdpaid",2018-03-31
"2003.183",2003,183,1.007,"ind_itdpaid",2019-03-31
"1993.195",1993,195,1.002,"ind_itdpaid",2010-03-31
"1994.195",1994,195,1.003,"ind_itdpaid",2011-03-31
"1995.195",1995,195,1.004,"ind_itdpaid",2012-03-31
"1996.195",1996,195,1.004,"ind_itdpaid",2013-03-31
"1997.195",1997,195,1.005,"ind_itdpaid",2014-03-31
"1998.195",1998,195,1.006,"ind_itdpaid",2015-03-31
"1999.195",1999,195,1.005,"ind_itdpaid",2016-03-31
"2000.195",2000,195,1.004,"ind_itdpaid",2017-03-31
"2001.195",2001,195,1.005,"ind_itdpaid",2018-03-31
"2002.195",2002,195,1.005,"ind_itdpaid",2019-03-31
"1992.207",1992,207,1.001,"ind_itdpaid",2010-03-31
"1993.207",1993,207,1.002,"ind_itdpaid",2011-03-31
"1994.207",1994,207,1.004,"ind_itdpaid",2012-03-31
"1995.207",1995,207,1.005,"ind_itdpaid",2013-03-31
"1996.207",1996,207,1.005,"ind_itdpaid",2014-03-31
"1997.207",1997,207,1.004,"ind_itdpaid",2015-03-31
"1998.207",1998,207,1.005,"ind_itdpaid",2016-03-31
"1999.207",1999,207,1.004,"ind_itdpaid",2017-03-31
"2000.207",2000,207,1.004,"ind_itdpaid",2018-03-31
"2001.207",2001,207,1.005,"ind_itdpaid",2019-03-31
"1991.219",1991,219,1.002,"ind_itdpaid",2010-03-31
"1992.219",1992,219,1.002,"ind_itdpaid",2011-03-31
"1993.219",1993,219,1.003,"ind_itdpaid",2012-03-31
"1994.219",1994,219,1.002,"ind_itdpaid",2013-03-31
"1995.219",1995,219,1.004,"ind_itdpaid",2014-03-31
"1996.219",1996,219,1.004,"ind_itdpaid",2015-03-31
"1997.219",1997,219,1.003,"ind_itdpaid",2016-03-31
"1998.219",1998,219,1.004,"ind_itdpaid",2017-03-31
"1999.219",1999,219,1.003,"ind_itdpaid",2018-03-31
"2000.219",2000,219,1.004,"ind_itdpaid",2019-03-31
"1990.231",1990,231,1.001,"ind_itdpaid",2010-03-31
"1991.231",1991,231,1.001,"ind_itdpaid",2011-03-31
"1992.231",1992,231,1.002,"ind_itdpaid",2012-03-31
"1993.231",1993,231,1.002,"ind_itdpaid",2013-03-31
"1994.231",1994,231,1.003,"ind_itdpaid",2014-03-31
"1995.231",1995,231,1.003,"ind_itdpaid",2015-03-31
"1996.231",1996,231,1.003,"ind_itdpaid",2016-03-31
"1997.231",1997,231,1.002,"ind_itdpaid",2017-03-31
"1998.231",1998,231,1.003,"ind_itdpaid",2018-03-31
"1999.231",1999,231,1.003,"ind_itdpaid",2019-03-31
"1989.243",1989,243,1.001,"ind_itdpaid",2010-03-31
"1990.243",1990,243,1.001,"ind_itdpaid",2011-03-31
"1991.243",1991,243,1.001,"ind_itdpaid",2012-03-31
"1992.243",1992,243,1.002,"ind_itdpaid",2013-03-31
"1993.243",1993,243,1.002,"ind_itdpaid",2014-03-31
"1994.243",1994,243,1.003,"ind_itdpaid",2015-03-31
"1995.243",1995,243,1.002,"ind_itdpaid",2016-03-31
"1996.243",1996,243,1.003,"ind_itdpaid",2017-03-31
"1997.243",1997,243,1.002,"ind_itdpaid",2018-03-31
"1998.243",1998,243,1.003,"ind_itdpaid",2019-03-31
"1988.255",1988,255,1.001,"ind_itdpaid",2010-03-31
"1989.255",1989,255,1.001,"ind_itdpaid",2011-03-31
"1990.255",1990,255,1.001,"ind_itdpaid",2012-03-31
"1991.255",1991,255,1.002,"ind_itdpaid",2013-03-31
"1992.255",1992,255,1.002,"ind_itdpaid",2014-03-31
"1993.255",1993,255,1.002,"ind_itdpaid",2015-03-31
"1994.255",1994,255,1.002,"ind_itdpaid",2016-03-31
"1995.255",1995,255,1.003,"ind_itdpaid",2017-03-31
"1996.255",1996,255,1.002,"ind_itdpaid",2018-03-31
"1997.255",1997,255,1.003,"ind_itdpaid",2019-03-31
"1987.267",1987,267,1.001,"ind_itdpaid",2010-03-31
"1988.267",1988,267,1.002,"ind_itdpaid",2011-03-31
"1989.267",1989,267,1.002,"ind_itdpaid",2012-03-31
"1990.267",1990,267,1.001,"ind_itdpaid",2013-03-31
"1991.267",1991,267,1.001,"ind_itdpaid",2014-03-31
"1992.267",1992,267,1.001,"ind_itdpaid",2015-03-31
"1993.267",1993,267,1.001,"ind_itdpaid",2016-03-31
"1994.267",1994,267,1.002,"ind_itdpaid",2017-03-31
"1995.267",1995,267,1.002,"ind_itdpaid",2018-03-31
"1996.267",1996,267,1.003,"ind_itdpaid",2019-03-31
"1986.279",1986,279,1.002,"ind_itdpaid",2010-03-31
"1987.279",1987,279,1.001,"ind_itdpaid",2011-03-31
"1988.279",1988,279,1.002,"ind_itdpaid",2012-03-31
"1989.279",1989,279,1.001,"ind_itdpaid",2013-03-31
"1990.279",1990,279,1.001,"ind_itdpaid",2014-03-31
"1991.279",1991,279,1.001,"ind_itdpaid",2015-03-31
"1992.279",1992,279,1.001,"ind_itdpaid",2016-03-31
"1993.279",1993,279,1.001,"ind_itdpaid",2017-03-31
"1994.279",1994,279,1.002,"ind_itdpaid",2018-03-31
"1995.279",1995,279,1.002,"ind_itdpaid",2019-03-31
"1985.291",1985,291,1.001,"ind_itdpaid",2010-03-31
"1986.291",1986,291,1.001,"ind_itdpaid",2011-03-31
"1987.291",1987,291,1.001,"ind_itdpaid",2012-03-31
"1988.291",1988,291,1.001,"ind_itdpaid",2013-03-31
"1989.291",1989,291,1.001,"ind_itdpaid",2014-03-31
"1990.291",1990,291,1.001,"ind_itdpaid",2015-03-31
"1991.291",1991,291,1.001,"ind_itdpaid",2016-03-31
