"","ay","age","amount","metric","eval_date"
"2002.171",2002,171,4667574860,"ind_itdpaid",03/31/2016
"2003.171",2003,171,4442404066,"ind_itdpaid",03/31/2017
"2004.171",2004,171,3153669019,"ind_itdpaid",03/31/2018
"1993.183",1993,183,1655959459,"ind_itdpaid",03/31/2008
"1994.183",1994,183,1583471573,"ind_itdpaid",03/31/2009
"1995.183",1995,183,1578752651,"ind_itdpaid",03/31/2010
"1996.183",1996,183,1890920003,"ind_itdpaid",03/31/2011
"1997.183",1997,183,2251777311,"ind_itdpaid",03/31/2012
"1998.183",1998,183,2687111331,"ind_itdpaid",03/31/2013
"1999.183",1999,183,2976441933,"ind_itdpaid",03/31/2014
"2000.183",2000,183,3354892901,"ind_itdpaid",03/31/2015
"2001.183",2001,183,4739340136,"ind_itdpaid",03/31/2016
"2002.183",2002,183,4695580309,"ind_itdpaid",03/31/2017
"2003.183",2003,183,4477943299,"ind_itdpaid",03/31/2018
"1992.195",1992,195,1953882273,"ind_itdpaid",03/31/2008
"1993.195",1993,195,1662583297,"ind_itdpaid",03/31/2009
"1994.195",1994,195,1588221988,"ind_itdpaid",03/31/2010
"1995.195",1995,195,1585067662,"ind_itdpaid",03/31/2011
"1996.195",1996,195,1900374603,"ind_itdpaid",03/31/2012
"1997.195",1997,195,2263036197,"ind_itdpaid",03/31/2013
"1998.195",1998,195,2703233999,"ind_itdpaid",03/31/2014
"1999.195",1999,195,2994300584,"ind_itdpaid",03/31/2015
"2000.195",2000,195,3368312472,"ind_itdpaid",03/31/2016
"2001.195",2001,195,4767776177,"ind_itdpaid",03/31/2017
"2002.195",2002,195,4719058211,"ind_itdpaid",03/31/2018
"1991.207",1991,207,2438278950,"ind_itdpaid",03/31/2008
"1992.207",1992,207,1959743920,"ind_itdpaid",03/31/2009
"1993.207",1993,207,1665908463,"ind_itdpaid",03/31/2010
"1994.207",1994,207,1592986654,"ind_itdpaid",03/31/2011
"1995.207",1995,207,1591407933,"ind_itdpaid",03/31/2012
"1996.207",1996,207,1907976102,"ind_itdpaid",03/31/2013
"1997.207",1997,207,2274351378,"ind_itdpaid",03/31/2014
"1998.207",1998,207,2719453403,"ind_itdpaid",03/31/2015
"1999.207",1999,207,3009272087,"ind_itdpaid",03/31/2016
"2000.207",2000,207,3381785722,"ind_itdpaid",03/31/2017
"2001.207",2001,207,4791615058,"ind_itdpaid",03/31/2018
"1990.219",1990,219,1919602487,"ind_itdpaid",03/31/2008
"1991.219",1991,219,2443155507,"ind_itdpaid",03/31/2009
